1;1;1;6;"Rock Rider";1990,00 €
2;1;1;6;"Air Rider";1190,00 €
3;1;1;10;"Fire Rider";799,00 €
4;1;1;7;"Water Rider";499,00 €
5;1;2;4;"Flash Vegas";2990,00 €
6;1;2;6;"Firebird LA";2499,00 €
7;1;2;12;"Lightning";999,00 €
8;1;3;4;"Strike Aim";1299,00 €
9;1;3;6;"Twin Glory";899,00 €
10;1;4;6;"CROSS LX";899,00 €
11;1;5;4;"ZB Cycling";1099,00 €
12;1;5;4;"Street Bull";799,00 €
13;1;5;7;"Ghost Town";399,00 €
14;1;6;7;"Jumbi";119,00 €
15;1;6;10;"Monkey X";159,00 €
16;1;6;7;"Foxxy";99,00 €
17;1;7;4;"E-Energy";4999,00 €
18;1;7;12;"Electro Road";2299,00 €
19;1;8;7;"BMX ""CUBE""";299,00 €
20;2;9;5;"Hercules Mikroschalenhelm";79,00 €
21;2;9;5;"Pegasus Mikroschalenhelm";129,00 €
22;2;9;7;"Zeus Mikroschalenhelm";39,00 €
23;2;9;6;"Hera Mikroschalenhelm";99,00 €
24;2;10;7;"Cloudera Hartschalenhelm";49,00 €
25;2;10;6;"Poseidon Hartschalenhelm";89,00 €
26;2;11;10;"Salomo Fullfacehelm";99,00 €
27;3;13;9;"Secure Kettenschloss";25,00 €
28;3;13;12;"Protect Kettenschloss";49,00 €
29;3;13;9;"Kinect Bügelschloss";59,00 €
30;3;14;12;"Transit Faltschloss";49,00 €
31;3;15;9;"Hulk Panzer-Gliederschloss";15,00 €
32;3;15;12;"Stone Panzer-Gliederschloss";22,00 €
33;3;16;9;"Snake Spiral-Kabelschloss";9,00 €
34;3;16;12;"Anaconda Spiral-Kabelschloss";13,00 €
35;3;16;12;"Kobra Spiral-Kabelschloss";11,00 €
36;4;17;1;"Mailand Fahrradtrikot";49,00 €
37;4;18;1;"Mailand Fahrradjacke";69,00 €
38;4;18;2;"Paris Fahrradjacke";99,00 €
39;4;19;1;"Mailand Fahrradhose";59,00 €
40;4;19;2;"Paris Fahrradhose";79,00 €
41;4;19;3;"Barcelona Fahrradhose";19,00 €
42;4;20;1;"Mailand Fahrradschuh";49,00 €
43;4;20;2;"Paris Fahrradschuh";89,00 €
44;4;21;1;"Mailand Fahrradhandschuh";9,00 €
45;4;21;2;"Paris Fahrradhandschuh";15,00 €
46;4;21;3;"Barcelona Fahrradhandschuh";5,00 €
47;4;22;10;"Schutz Protektor";179,00 €
48;4;22;8;"Kraft Protektor";29,00 €
49;4;22;8;"Stärke Protektor";19,00 €
50;5;23;13;"Lightning LED vorne";7,00 €
51;5;23;12;"Saphir LED vorne";30,00 €
52;5;24;13;"Lightning LED hinten";8,00 €
53;5;25;12;"Diamant LED set";45,00 €
54;5;26;12;"Bernstein Stirnlampe";25,00 €
55;6;27;15;"Kango Fahrradtasche";12,00 €
56;6;27;8;"X Basket Fahrradtasche";59,00 €
57;6;27;14;"Y Basket Fahrradtasche";46,00 €
58;6;28;15;"Fluid Trinkflasche";4,95 €
59;6;28;11;"Sibirien small Thermotrinkflasche";11,95 €
60;6;28;11;"Sibirien regular Thermotrinkflasche";13,95 €
61;6;29;15;"Refresh Luftpumpe";12,00 €
62;6;29;8;"Secondair Luftpumpe";25,00 €
63;6;30;6;"ITelegance Fahrradcomputer";9,00 €
64;6;30;6;"Ordinateur Fahrradcomputer";24,00 €
